x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,3,0,321102310,0
0,18,3,0,23321102
0,21,10222111,251685,7055
0,31,1,1,0
0,35,10211200,270929,262644
0,36,81472,10340,17
0,37,9323,18,73
0,46,7,0,211012322
0,64,55989,23,2
0,68,515523,280613,6
0,91,0,3231212,62654
0,123,28,1,1
0,124,6,2,0
0,125,0,312200000,12
0,126,23312200,11,59470
0,127,20000010,186090,11837
1,7,85,16,9
1,8,7,6,6
1,11,9,1,1
1,13,30233211,223122,80026
1,16,554048,32356,21
1,17,20,3,1
1,18,3,1,0
1,19,0,321102221,21
1,20,23321102,22112,80009
1,30,17,1,1
1,37,3,2,0
1,45,84927,11896,23
1,46,14,17,2
1,87,5,0,200323132
1,91,2,302332003,231213
1,101,0,320032132,1
1,105,97537,14,2
1,109,3,7,1
1,114,195561,15579,24
1,115,455,200,5
1,122,0,220000120,349626
1,123,2735,579,52
1,124,23121,27,17
2,7,110873,16,1
2,9,27,18,6
2,13,0,233211022,3130
2,17,553,122,19
2,18,15,2,2
2,31,19,1,1
2,32,0,321102112,2
2,34,23321102,11201,62949
2,37,17,12,3
2,38,2,2,30233211
2,39,23321102,22,82929
2,46,154036,12,1
2,63,3,1,0
2,74,178487,11,3
2,75,5,2,0
2,94,332003231,133,873
2,111,332003133,203,657
3,3,6,3023321,10231001
3,6,12768,20911,22
3,15,211022311,3,2
3,18,23396,19,4
3,28,743749,649888,6
3,29,54,900,7
3,30,16223,37,7
3,37,25,17,1
3,74,512,416,35
3,75,28,4,1
3,77,1,1,30233201
3,94,4,2,7
3,101,20,1,1
3,105,1,3023320,3213212
3,112,9497,13,1
3,121,3,0,331220000
3,122,2,302331220,121
3,124,542,382,20
4,4,3,0,23321102
4,19,2,3023321,10222130
4,65,23320101,11103,99719
4,89,4,3,0
4,92,13,4,3
4,95,1,0,332003231
4,106,30233200,3203000,39646
4,122,1,1,0
5,0,883,908,15
5,1,35777,17,1
5,2,16,2,1
5,3,10,3,0
5,12,98150,16,28
5,13,9,2,0
5,18,121001,19162,25
5,27,1,0,332110212
5,62,23,4,1
5,66,10111102,665036,619642
5,79,3,0,201000303
5,80,0,233201000,3021
5,107,200320223,3,7
5,115,3,3,0
5,121,18,6,6
5,124,16,4,30233122
6,9,10230000,548679,22857
6,27,2,2,0
6,28,332110211,301,620
6,40,2,3023321,10200200
6,43,10200021,301298,17455
6,62,40,2,1
6,69,8,2,8
6,76,12,3,1
6,77,83,6,0
6,86,30657,6,4
6,87,41,26,44
6,88,8,2,2
6,91,1703,11,1
6,91,1,1,30233200
6,107,0,233200320,3022
6,113,0,6,4
6,117,0,220010001,208792
7,9,0,321102300,11
7,10,23321102,30002,62397
7,12,23237,11738,26
7,16,2,0,211022313
7,41,0,321102001,22
7,47,0,233211012,3220
7,75,332010020,300,831
7,76,55253,56629,12
7,99,16,1,1
7,106,1,0,200320332
7,108,331947,206737,13
7,115,4,9,1
7,116,4,0,331220010
7,117,1,302331220,10002
8,2,14,3,2
8,6,23321102,30332,27603
8,8,10230331,144714,23229
8,9,4,3023321,10230022
8,15,1,1,30233211
8,28,2,302332110,211321
8,29,0,110211320,210384
8,65,1,3023320,10111322
8,71,507777,553612,15
8,74,43,6,3
8,75,0,10020302,176783
8,93,0,1,3
8,101,11683,16,6
8,119,331220010,0,13
8,121,6,48,1
9,3,318,601,28
9,4,19,5,3
9,5,2,0,23321102
9,6,88038,21793,16
9,7,13,19,12
9,8,2,0,211023230
9,11,30233211,231203,236340
9,65,1,0,23320101
9,75,6,1,0
9,95,4,1,0
9,116,3640,24,25
9,124,58576,17,15
9,127,1947,21,1
10,2,30146,5660,18
10,4,20,8,3
